1,南瓜,KG,1.3
2,黄豆芽,KG,1.9
3,白萝卜,KG,2
4,大白菜,KG,2.2
5,胡萝卜,KG,2.4
6,小白菜,KG,2.6
7,土豆,KG,2.7
8,洋白菜,KG,3.3
9,酥梨,KG,3.3
10,西瓜,KG,3.5
11,油菜,KG,4
12,葱头,KG,4.3
13,西红柿,KG,4.5
14,蜜桔,KG,4.5
15,空心菜,KG,4.5
16,油麦菜,KG,4.7
17,青椒,KG,4.8
18,莴笋,KG,4.8
19,毛豆,KG,5
20,大葱,KG,5.3
21,西葫芦,KG,5.6
22,红椒,KG,5.8
23,香蕉,KG,5.9
24,哈密瓜,KG,6
25,大蒜,KG,6.3
26,莲藕,KG,6.5
27,芹菜,KG,6.8
28,生姜,KG,6.8
29,芒果,KG,7
30,富士苹果,KG,7
31,瓠子,KG,7
32,马蹄,KG,7
33,小葱,KG,7
34,豆角,KG,7.3
35,茄子,KG,7.3
36,黄瓜,KG,7.3
37,丝瓜,KG,7.5
38,豇豆,KG,7.8
39,蒜薹,KG,7.9
40,巨峰葡萄,KG,9
41,西兰花,KG,10
42,一级豆油(散装),KG,10.4
43,鸡蛋,KG,10.4
44,白鲢活鱼,KG,10.5
45,菜油(散装),KG,11.7
46,活鲤鱼,KG,13
47,香菇,KG,13
48,香菜,KG,13
49,白条鸡,KG,13.3
50,菠菜,KG,14
51,活草鱼,KG,15
52,荷兰豆,KG,16
53,活鲫鱼,KG,18
54,猪肉(白条猪),KG,18.02
55,带鱼,KG,44
56,大黄花鱼,KG,47
57,鲈鱼,KG,48
58,羊肉,KG,65
59,牛肉,KG,76
1,冬瓜,KG,1.8
2,大白菜,KG,2.5
3,土豆,KG,3.5
4,胡萝卜,KG,3.5
5,面粉,KG,3.6
6,西瓜,KG,3.6
7,大米,KG,3.8
8,香蕉,KG,4
9,青椒,KG,5.5
10,西红柿,KG,5.5
11,大葱,KG,5.5
12,茄子,KG,6.5
13,莲藕,KG,7
14,生姜,KG,7
15,黄瓜,KG,8
16,芹菜,KG,8.5
17,大蒜,KG,9
18,西兰花,KG,10
19,豆角,KG,10.5
20,色拉油,KG,10.5
21,一级豆油(散装),KG,10.8
22,白鲢活鱼,KG,12
23,活鲤鱼,KG,12.5
24,活鲫鱼,KG,14
25,活草鱼,KG,20
26,猪肉(白条猪),KG,22
1,冬瓜,KG,1
2,土豆,KG,2.6
3,胡萝卜,KG,2.6
4,京欣西瓜,KG,3
5,佛手瓜,KG,3
6,黄豆芽,KG,3
7,大白菜,KG,3
8,绿豆芽,KG,3
9,茼蒿,KG,4
10,甘蔗,KG,4
11,莲藕,KG,4
12,菜花,KG,4
13,韭菜,KG,4
14,青椒,KG,4
15,白萝卜,KG,4
16,大蒜,KG,4
17,香蕉,KG,4.2
18,面粉,KG,4.2
19,蒜薹,KG,5
20,大米,KG,5
21,富士苹果,KG,5
22,大葱,KG,5
23,空心菜,KG,5
24,芋头,KG,6
25,尖椒,KG,6
26,西红柿,KG,6
27,金针菇,KG,6
28,芹菜,KG,6
29,茄子,KG,6
30,砂糖橘,KG,6.6
31,巨峰葡萄,KG,7
32,西葫芦,KG,7
33,圆茄子,KG,7
34,蜜桔,KG,7
35,生姜,KG,7
36,猕猴桃,KG,8
37,生菜,KG,9
38,西兰花,KG,9
39,平菇,KG,9
40,荷兰豆,KG,10
41,蒜苗,KG,10
42,一级豆油(散装),KG,11
43,豆角,KG,11
44,色拉油,KG,12
45,黑木耳,KG,12
46,黄瓜,KG,13
47,香菇,KG,15
48,香菜,KG,16
49,龙眼(桂圆),KG,16
50,菠菜,KG,22
51,白鲢活鱼,KG,22
52,活鲤鱼,KG,28
53,香油,KG,38
1,冬瓜,KG,2.5
2,南瓜,KG,2.7
3,葱头,KG,3.7
4,大白菜,KG,3.7
5,胡萝卜,KG,3.8
6,洋白菜,KG,4
7,土豆,KG,4.1
8,白萝卜,KG,5
9,油菜,KG,5.2
10,韭菜,KG,5.8
11,西红柿,KG,6.8
12,大葱,KG,7
13,生菜,KG,7.2
14,莴笋,KG,7.3
15,青椒,KG,7.3
16,茄子,KG,9
17,豆角,KG,9
18,莲藕,KG,9.5
19,蒜薹,KG,9.5
20,黄瓜,KG,10
21,芹菜,KG,11.5
22,西葫芦,KG,12.5
23,平菇,KG,12.5
24,菜花,KG,12.5
25,香菇,KG,16
26,菠菜,KG,19
1,冬瓜,KG,1.5
2,南瓜,KG,2
3,蜜桔,KG,2.5
4,酥梨,KG,2.8
5,土豆,KG,3
6,香蕉,KG,3.9
7,白萝卜,KG,4
8,哈密瓜,KG,4.2
9,青椒,KG,4.5
10,莴笋,KG,4.8
11,西红柿,KG,5
12,生姜,KG,6
13,大葱,KG,6.5
14,猕猴桃,KG,7.9
15,黄瓜,KG,8
16,芹菜,KG,8
17,白鲢活鱼,KG,8
18,富士苹果,KG,9.1
19,活草鱼,KG,14
20,黑鱼,KG,16
21,活鲫鱼,KG,18.5
22,鲈鱼,KG,24
1,冬瓜,KG,1.2
2,南瓜,KG,1.8
3,土豆,KG,2.6
4,大白菜,KG,2.6
5,面粉,KG,3.4
6,玉米,KG,3.4
7,胡萝卜,KG,3.4
8,白萝卜,KG,3.4
9,生姜,KG,3.8
10,香蕉,KG,3.8
11,生菜,KG,4.4
12,菜苔,KG,4.8
13,莴笋,KG,4.8
14,山药,KG,4.8
15,大米,KG,4.8
16,尖椒,KG,5.6
17,小白菜,KG,5.6
18,韭菜,KG,5.6
19,糯米,KG,6
20,莲藕,KG,6.2
21,菠菜,KG,6.4
22,平菇,KG,6.4
23,西葫芦,KG,6.6
24,西红柿,KG,6.6
25,大葱,KG,6.6
26,青椒,KG,6.6
27,大蒜,KG,6.6
28,大豆,KG,7
29,圆茄子,KG,7.2
30,长茄子,KG,7.2
31,西瓜,KG,7.4
32,油麦菜,KG,7.8
33,芹菜,KG,7.8
34,黄瓜,KG,7.8
35,金针菇,KG,7.8
36,白鲢活鱼,KG,8
37,苦瓜,KG,8.8
38,红椒,KG,10
39,葡萄,KG,10
40,绿豆,KG,10
41,活鲤鱼,KG,10.6
42,蒜苗,KG,11
43,鸡蛋,KG,11
44,豆角,KG,11
45,花生仁,KG,12
46,活鲫鱼,KG,13
47,一级豆油(散装),KG,13
48,菜油(散装),KG,13
49,红小豆,KG,13.6
50,鳊鱼,KG,13.6
51,香菇,KG,14
52,活草鱼,KG,14
53,西兰花,KG,15
54,白条鸡,KG,15
55,香菜,KG,18
56,大带鱼,KG,24
57,牛肉,KG,76
58,羊肉,KG,78
1,大白菜,KG,1.5
2,冬瓜,KG,1.6
3,胡萝卜,KG,2.1
4,南瓜,KG,2.2
5,白萝卜,KG,2.2
6,土豆,KG,3
7,青椒,KG,3.2
8,瓠子,KG,3.4
9,西红柿,KG,3.5
10,韭菜,KG,4
11,油菜,KG,4
12,莴笋,KG,4
13,黄瓜,KG,4.8
14,大葱,KG,5
15,茼蒿,KG,5
16,芹菜,KG,5.5
17,莲藕,KG,6
18,香菇,KG,12
1,南瓜,KG,1.4
2,冬瓜,KG,1.4
